Set,Tube,Envelope,Source,Ear,Sample,Rep,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Rb85,Sr88,Mo98,Cd111
R5,131,14,TX,2,middle,7,55.6,152.6,2090,7.2,5671,4989,8393,71,68,8.28,51,0.0154,0.45,2.98,48.4,0.007,2.13,0.214,0.569,0.011
R5,132,15,TX,2,tip,7,61.2,127.6,1866,9.2,5520,4170,8425,65,61,7.43,45.9,0.0052,0.3,3.32,51.5,0.012,2.17,0.196,0.461,0.007
R5,133,16,TX,3,base,7,37.5,91.9,2032,8.1,5937,4643,8432,114,119,10.78,49.2,0.0419,1.67,4.2,58.1,0.021,2.31,0.4,0.824,0.005
R5,134,17,TX,3,middle,7,39.8,103.1,1901,5.3,5475,4458,8720,98,96,7.76,43.1,0.0139,0.38,3.27,50,0.016,2.45,0.329,0.472,0.006
R5,135,18,TX,3,tip,7,39.9,88.7,2010,5.7,5961,4691,9387,107,99,9.5,42.6,0.0162,0.42,3.69,55,0.006,2.68,0.353,0.453,0.002
R5,136,10,TX,1,base,8,34.7,77.2,1739,5,5687,4155,7895,159,156,11.18,35.3,0.0178,0.4,3.79,52.6,0.006,2.27,0.646,0.578,0.007
R5,137,11,TX,1,middle,8,31.5,66,1739,5.3,5492,4588,8739,86,89,8.18,45.1,0.0178,0.29,2.81,45.1,0.009,2.52,0.268,0.527,0.008
R5,138,12,TX,1,tip,8,43,89.4,1855,8.9,5490,4666,9964,80,79,8.3,49.4,0.0113,0.57,3.17,42.6,0.014,2.75,0.192,0.485,0.008
R5,139,13,TX,2,base,8,29.8,79.6,1982,4.5,5864,4161,7780,130,126,10.83,38.5,0.0143,0.43,4.73,56.6,0.005,1.97,0.508,0.654,0.006
R5,140,14,TX,2,middle,8,105,143.4,1958,13.8,5647,5185,8255,110,106,8.37,54.9,0.0129,0.4,3.5,42.1,0.003,2.18,0.371,0.534,0.007
R5,141,15,TX,2,tip,8,47,117.5,1988,5.8,5684,4629,8780,67,67,7.21,44.5,0.0158,0.39,3.11,56.2,0.004,2.3,0.194,0.46,0.009
R5,142,16,TX,3,base,8,59,116.7,1974,7.7,5930,4260,7833,182,183,12.37,35,0.0133,0.32,4.42,53.6,0.01,2.23,0.806,0.6,0.005
R5,143,17,TX,3,middle,8,116,179.8,1913,18.2,5658,4898,9484,98,109,8.42,48.6,0.0134,0.37,3.4,45.9,0.003,2.81,0.385,0.412,0.009
R5,144,18,TX,3,tip,8,47.8,98,1968,9,5558,4283,8577,55,45,7.93,39.4,0.0126,0.39,3.3,55.1,0.006,2.46,0.156,0.444,0.005
R5,145,28,IA,1,base,1,37.6,83.8,2761,4.6,7586,4067,8067,75,73,9.88,30.7,0.0045,0.82,2.89,48.8,0.001,5.88,0.126,0.221,0.009
R5,146,29,IA,1,middle,1,69.3,111.6,2515,8.6,7069,4449,8197,62,74,10.72,31.5,0.0085,0.79,3.01,45.2,0.001,6.64,0.09,0.277,0.005
R5,147,30,IA,1,tip,1,72.7,119.8,2402,8.2,6951,4675,8297,58,65,10.91,36.1,0.0065,0.93,2.85,53.4,0.002,7.51,0.062,0.231,0.01
R5,148,31,IA,2,base,1,107.3,143.2,2417,16.8,7109,4165,9186,86,87,8.72,38.7,0.0087,0.6,4.71,39.6,0.003,5.28,0.124,0.232,0.002
R5,149,32,IA,2,middle,1,38.9,89.2,2433,3.4,6866,3763,8584,67,69,10.42,27.7,0.0032,0.65,2.3,41.7,0.002,5.4,0.124,0.235,0.006
R5,150,33,IA,2,tip,1,41.5,68.3,2469,5.5,7380,4123,9320,76,81,10.07,31.1,0.0126,1.06,3.46,47.9,0.001,5.96,0.104,0.377,0.004
