row,set,Tube,weights,Line,Su,B11,Na23,Mg25,Al27,Si29,P31,S34,K39,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Mo98,Cd114
07U4008,R5,44,0.2651,(B73_Il14H)S5,NA,346.4039223,165.7563447,2102.655226,27.13398023,1952.49438,3795.354118,1933.192783,2580.846875,117.0635102,10.2897979,27.06056843,0.003689416,0.424140345,2.370201088,29.67202187,0.17061188,0.380495865,2.114454422,0.229837302,0.078855485
07U4009,R5,45,0.2068,(B73_Il14H)S5,NA,362.5074714,162.006525,2823.292932,25.50788729,2077.30448,4489.838042,2462.286737,4826.979963,137.7659752,10.20857797,30.75415598,0.005671981,0.433686664,1.891891044,25.88245452,0.261268103,0.110569084,2.056765414,0.226879329,0.037914134
07U4010,R5,46,0.1932,(B73_Il14H)S5,NA,427.804721,199.4206294,2142.542996,35.36344366,2036.174747,3908.520038,2639.67823,3827.358317,156.7851292,5.356617283,36.81865156,0.005248179,0.12635836,1.641054495,20.69767776,0.268712189,0.590699344,2.130279017,0.194049803,0.011010685
07U4011,R5,47,0.2406,(B73_Il14H)S5,round,265.8401233,121.1103191,1998.036313,21.80777934,1525.654186,3630.804441,1846.219898,3840.641344,131.636164,6.291805457,30.30431377,0.002860026,0.301512346,1.930437691,15.85293514,0.205839318,0.348786404,1.362689409,0.116950074,0.008998191
07U4012,R5,48,0.2163,(B73_Il14H)S5,NA,234.6471092,111.7901587,2095.649504,18.89482495,1631.809327,3436.641876,2418.620937,3209.99106,119.8991457,9.934443186,30.62336901,0.003816223,0.413902647,0.8665872,17.75651781,0.236516218,0.621765897,2.12373848,0.122652702,0.044273927
07U4013,R5,49,0.1803,(B73_Il14H)S5,NA,658.513146,298.979623,2135.869284,51.65408144,8731.894669,3839.699329,2138.91775,3124.587173,171.4999223,4.908547136,35.01304952,0.004820552,0.113151108,2.295330572,27.20187996,0.297902213,0.438239798,2.588396692,0.089019454,0.062701381
07U4014,R5,50,0.2425,(B73_Il14H)S5,NA,329.6224924,154.5470646,2247.278331,25.84402848,3205.233997,4047.25035,2171.00868,5305.725727,130.904533,7.941411505,33.38847632,0.004308795,0.229676684,0.847928318,33.15660288,0.188448659,0.425089933,3.662998201,0.170395762,0.05288852
07U4015,R5,51,0.1679,(B73_Il14H)S5,NA,578.5783668,276.7025821,2441.567181,40.05854958,5067.500449,4282.312867,2401.521723,4681.90392,189.0837394,5.395266815,29.77696903,0.004024459,0.297688231,1.948290278,17.2079674,0.303284916,0.601203924,1.849247181,0.197370071,0.016351054
07U4016,R5,52,0.1596,(B73_Il14H)S5,NA,403.8221124,190.2245394,2121.516447,23.87375185,2077.178918,4024.900633,2236.851067,4660.196359,181.887475,7.108953678,30.67087501,0.003502308,0.199930165,1.389621395,22.99814744,0.342986714,1.127449261,1.836296376,0.132594855,0.012868577
07U4017,R5,53,0.2716,B73,NA,215.8371715,109.6376132,2149.691322,14.02058412,1217.32081,3576.539655,2020.108799,4367.105166,113.6468018,5.820820399,27.74127608,0.001544549,0.246777972,0.8145728,20.4963893,0.174920843,0.504562042,3.077231461,0.136280531,0.006084703
07U4018,R5,54,0.2544,(B73_Il14H)S5,NA,307.1717115,150.0359388,2100.647301,22.53842578,1365.323835,3481.092838,2118.050817,3518.526754,153.4044572,5.544952524,31.12121911,0.002783807,0.146258759,1.28116767,23.27839647,0.21261315,0.919956276,1.99503024,0.141439704,0.002949574
07U4019,R5,55,0.2015,(B73_Il14H)S5,NA,437.3165973,216.1255303,1918.088816,31.18094497,2153.449964,3978.229014,2144.627798,3835.827321,150.8449804,9.060394553,29.4905385,0.004190235,0.092242617,1.626099817,16.64986803,0.266768594,0.54111344,2.474187667,0.180385867,0.004370894
